subject_ID,fit,task,human,human_draws,n_games,optimal_full,optimal_full_draws,optimal_full_correct,optimal_full_missed,gap_full
76,long,LBE-T-RPhCL--,0.9625,6.7125,80,1.6625,9.1,0.9125,0.0125,0.7000000000000001
76,combined,C-EXT-RPHC-UK,0.9125,5.43125,160,1.41875,6.475,0.85,0.01875,0.50625
96,short,SB-XT-RPh----,0.85,2.875,80,1.075,3.9625,0.7625,0.025,0.22499999999999998
96,long,LBE-T-RPhCL--,1.2,6.0,80,1.6625,9.1125,0.9125,0.0125,0.46250000000000013
96,combined,C-EXT-RPHC-UK,1.025,4.4375,160,1.36875,6.5625,0.8375,0.01875,0.34375
98,short,SB-XT-RPh----,0.975,3.8,80,1.125,3.975,0.775,0.025,0.15000000000000002
98,long,LBE-T-RPhCL--,0.9625,5.85,80,1.6625,9.175,0.9125,0.0125,0.7000000000000001
98,combined,C-EXT-RPHC-UK,0.96875,4.825,160,1.39375,6.55625,0.84375,0.01875,0.42500000000000004
97,short,SB-XT-RPh----,0.8125,4.5375,80,1.175,3.925,0.7875,0.025,0.36250000000000004
97,long,LBE-T-RPhCL--,0.8,6.2375,80,1.6625,9.075,0.9125,0.0125,0.8625
97,combined,C-EXT-RPHC-UK,0.80625,5.3875,160,1.41875,6.45625,0.85,0.01875,0.6124999999999999
79,short,SB-XT-RPh----,0.775,3.875,80,1.175,3.95,0.7875,0.025,0.4
79,long,LBE-T-RPhCL--,1.0,5.8875,80,1.6125,9.275,0.9,0.0125,0.6125
79,combined,C-EXT-RPHC-UK,0.8875,4.88125,160,1.39375,6.5875,0.84375,0.01875,0.5062500000000001
58,short,SB-XT-RPh----,0.7625,4.325,80,1.175,3.9125,0.7875,0.025,0.4125000000000001
58,long,LBE-T-RPhCL--,1.0875,7.7625,80,1.6625,9.1875,0.9125,0.0125,0.5750000000000002
58,combined,C-EXT-RPHC-UK,0.925,6.04375,160,1.41875,6.54375,0.85,0.01875,0.4937499999999999
9,short,SB-XT-RPh----,1.1,3.6375,80,1.125,3.925,0.775,0.025,0.02499999999999991
9,long,LBE-T-RPhCL--,1.0,5.4125,80,1.6125,9.0875,0.9,0.0125,0.6125
9,combined,C-EXT-RPHC-UK,1.05,4.525,160,1.36875,6.575,0.8375,0.01875,0.31874999999999987
35,short,SB-XT-RPh----,1.0375,3.7875,80,1.125,3.95,0.775,0.025,0.08749999999999991
35,long,LBE-T-RPhCL--,1.25,6.575,80,1.6625,9.075,0.9125,0.0125,0.4125000000000001
35,combined,C-EXT-RPHC-UK,1.14375,5.18125,160,1.39375,6.55,0.84375,0.01875,0.25
92,short,SB-XT-RPh----,0.825,3.7375,80,1.075,3.925,0.7625,0.025,0.25
92,long,LBE-T-RPhCL--,0.95,5.75,80,1.6625,9.0125,0.9125,0.0125,0.7125000000000001
92,combined,C-EXT-RPHC-UK,0.8875,4.74375,160,1.36875,6.64375,0.8375,0.01875,0.48124999999999996
42,short,SB-XT-RPh----,0.8,3.8,80,1.225,3.9875,0.8,0.025,0.42500000000000004
42,long,LBE-T-RPhCL--,0.9625,6.7875,80,1.6625,9.1375,0.9125,0.0125,0.7000000000000001
42,combined,C-EXT-RPHC-UK,0.88125,5.29375,160,1.44375,6.575,0.85625,0.01875,0.5625000000000001
40,short,SB-XT-RPh----,0.15,4.675,80,1.125,4.0,0.775,0.025,0.975
40,long,LBE-T-RPhCL--,1.25,6.55,80,1.6625,9.075,0.9125,0.0125,0.4125000000000001
40,combined,C-EXT-RPHC-UK,0.7,5.6125,160,1.39375,6.51875,0.84375,0.01875,0.6937500000000001
50,short,SB-XT-RPh----,0.95,4.0,80,1.175,3.975,0.7875,0.025,0.2250000000000001
50,long,LBE-T-RPhCL--,1.3125,5.6875,80,1.6625,9.375,0.9125,0.0125,0.3500000000000001
50,combined,C-EXT-RPHC-UK,1.13125,4.84375,160,1.41875,6.55625,0.85,0.01875,0.28749999999999987
30,short,SB-XT-RPh----,0.7875,4.1375,80,1.175,3.9375,0.7875,0.025,0.38750000000000007
30,long,LBE-T-RPhCL--,1.2,6.7,80,1.6625,9.1,0.9125,0.0125,0.46250000000000013
30,combined,C-EXT-RPHC-UK,0.99375,5.41875,160,1.41875,6.55625,0.85,0.01875,0.42499999999999993
85,short,SB-XT-RPh----,0.775,4.4625,80,1.175,3.9875,0.7875,0.025,0.4
85,long,LBE-T-RPhCL--,1.075,7.0875,80,1.6625,9.325,0.9125,0.0125,0.5875000000000001
85,combined,C-EXT-RPHC-UK,0.925,5.775,160,1.41875,6.51875,0.85,0.01875,0.4937499999999999
57,short,SB-XT-RPh----,0.9875,3.7125,80,1.125,3.925,0.775,0.025,0.13749999999999996
57,long,LBE-T-RPhCL--,0.95,5.5625,80,1.6625,8.9375,0.9125,0.0125,0.7125000000000001
57,combined,C-EXT-RPHC-UK,0.96875,4.6375,160,1.39375,6.575,0.84375,0.01875,0.42500000000000004
