subject_ID,fit,horizon,n_games,uniform_reward,informed_reward,uniform_draws,informed_draws,uniform_correct,informed_correct,uniform_missed,informed_missed
49,combined,short,80,1.175,1.175,3.975,4.0,0.7875,0.7875,0.025,0.025
104,combined,short,80,1.225,1.225,4.0125,3.9,0.8,0.8,0.025,0.025
89,combined,short,80,1.175,1.175,3.8625,3.9125,0.7875,0.7875,0.025,0.025
56,combined,short,80,1.175,1.175,3.925,3.9625,0.7875,0.7875,0.025,0.025
4,combined,short,80,1.225,1.225,3.975,3.9375,0.8,0.8,0.025,0.025
33,combined,short,80,1.175,1.175,3.9375,3.9875,0.7875,0.7875,0.025,0.025
82,combined,short,80,1.225,1.225,3.9375,4.0,0.8,0.8,0.025,0.025
41,combined,short,80,1.225,1.225,3.975,3.9625,0.8,0.8,0.025,0.025
47,combined,short,80,1.275,1.275,3.9375,3.95,0.8125,0.8125,0.025,0.025
51,combined,short,80,1.175,1.175,3.9625,3.9875,0.7875,0.7875,0.025,0.025
63,combined,short,80,1.175,1.175,3.9625,4.0125,0.7875,0.7875,0.025,0.025
99,combined,short,80,1.225,1.225,3.9625,3.9125,0.8,0.8,0.025,0.025
26,combined,short,80,1.275,1.275,4.0125,3.925,0.8125,0.8125,0.025,0.025
80,combined,short,80,1.025,1.025,3.9375,3.9875,0.75,0.75,0.025,0.025
75,combined,short,80,1.225,1.225,3.8625,3.95,0.8,0.8,0.025,0.025
13,combined,short,80,1.125,1.125,3.9875,3.9,0.775,0.775,0.025,0.025
29,combined,short,80,1.225,1.225,3.95,3.9125,0.8,0.8,0.025,0.025
46,combined,short,80,1.325,1.325,3.9375,3.975,0.825,0.825,0.025,0.025
52,combined,short,80,1.125,1.125,3.975,3.975,0.775,0.775,0.025,0.025
67,combined,short,80,1.275,1.275,3.9625,3.9375,0.8125,0.8125,0.025,0.025
105,combined,short,80,1.225,1.225,3.9,3.9375,0.8,0.8,0.025,0.025
101,combined,short,80,1.175,1.175,3.8875,3.925,0.7875,0.7875,0.025,0.025
61,combined,short,80,1.125,1.125,3.9625,3.9625,0.775,0.775,0.025,0.025
27,combined,short,80,1.325,1.325,4.0,4.025,0.825,0.825,0.025,0.025
93,combined,short,80,1.025,1.075,3.9,4.0,0.75,0.7625,0.025,0.025
17,combined,short,80,0.975,0.975,3.9625,3.875,0.7375,0.7375,0.025,0.025
7,combined,short,80,1.275,1.275,3.95,3.9875,0.8125,0.8125,0.025,0.025
12,combined,short,80,1.175,1.175,3.9375,3.95,0.7875,0.7875,0.025,0.025
103,combined,short,80,1.125,1.125,3.9125,3.9625,0.775,0.775,0.025,0.025
48,combined,short,80,1.125,1.125,3.9125,3.95,0.775,0.775,0.025,0.025
43,combined,short,80,1.325,1.325,3.9125,3.9625,0.825,0.825,0.025,0.025
100,combined,short,80,1.225,1.225,3.95,3.9625,0.8,0.8,0.025,0.025
45,combined,short,80,1.225,1.225,3.925,3.8875,0.8,0.8,0.025,0.025
73,combined,short,80,1.125,1.125,3.925,3.925,0.775,0.775,0.025,0.025
24,combined,short,80,1.225,1.225,3.9625,3.9625,0.8,0.8,0.025,0.025
71,combined,short,80,1.275,1.275,3.925,3.9875,0.8125,0.8125,0.025,0.025
76,combined,short,80,1.175,1.175,3.8875,3.9625,0.7875,0.7875,0.025,0.025
96,combined,short,80,1.075,1.075,3.9875,3.9875,0.7625,0.7625,0.025,0.025
98,combined,short,80,1.125,1.125,3.9125,3.9625,0.775,0.775,0.025,0.025
97,combined,short,80,1.175,1.175,3.9625,3.9625,0.7875,0.7875,0.025,0.025
79,combined,short,80,1.175,1.175,3.8875,3.9375,0.7875,0.7875,0.025,0.025
58,combined,short,80,1.175,1.175,3.8875,4.0,0.7875,0.7875,0.025,0.025
9,combined,short,80,1.175,1.125,3.975,3.925,0.7875,0.775,0.025,0.025
35,combined,short,80,1.125,1.125,3.925,3.9875,0.775,0.775,0.025,0.025
92,combined,short,80,1.075,1.075,3.975,4.0,0.7625,0.7625,0.025,0.025
42,combined,short,80,1.225,1.225,3.9875,3.9375,0.8,0.8,0.025,0.025
40,combined,short,80,1.125,1.125,3.9375,3.9625,0.775,0.775,0.025,0.025
50,combined,short,80,1.175,1.175,3.9125,3.925,0.7875,0.7875,0.025,0.025
30,combined,short,80,1.225,1.175,3.9625,3.925,0.8,0.7875,0.025,0.025
85,combined,short,80,1.175,1.175,3.925,3.9625,0.7875,0.7875,0.025,0.025
57,combined,short,80,1.125,1.125,3.9375,3.975,0.775,0.775,0.025,0.025
95,combined,short,80,1.225,1.225,3.925,3.9,0.8,0.8,0.025,0.025
21,combined,short,80,1.175,1.175,4.0,3.925,0.7875,0.7875,0.025,0.025
5,combined,short,80,1.275,1.275,3.95,3.975,0.8125,0.8125,0.025,0.025
72,combined,short,80,1.225,1.225,3.95,3.9,0.8,0.8,0.025,0.025
22,combined,short,80,1.225,1.225,3.95,3.9375,0.8,0.8,0.025,0.025
87,combined,short,80,1.175,1.175,3.9375,3.95,0.7875,0.7875,0.025,0.025
3,combined,short,80,1.175,1.175,3.9875,4.0,0.7875,0.7875,0.025,0.025
15,combined,short,80,1.375,1.375,3.9625,3.9125,0.8375,0.8375,0.025,0.025
60,combined,short,80,1.275,1.275,3.875,3.9125,0.8125,0.8125,0.025,0.025
16,combined,short,80,1.175,1.175,3.9375,3.95,0.7875,0.7875,0.025,0.025
11,combined,short,80,1.225,1.225,3.95,3.9875,0.8,0.8,0.025,0.025
83,combined,short,80,1.175,1.175,3.925,3.9625,0.7875,0.7875,0.025,0.025
66,combined,short,80,1.225,1.225,3.9875,3.9125,0.8,0.8,0.025,0.025
25,combined,short,80,1.225,1.225,3.975,3.9125,0.8,0.8,0.025,0.025
2,combined,short,80,1.175,1.175,3.9,3.9625,0.7875,0.7875,0.025,0.025
91,combined,short,80,1.275,1.225,3.9125,4.025,0.8125,0.8,0.025,0.025
19,combined,short,80,1.025,1.025,3.9625,3.925,0.75,0.75,0.025,0.025
90,combined,short,80,1.175,1.175,3.975,3.9625,0.7875,0.7875,0.025,0.025
69,combined,short,80,1.325,1.325,3.9375,3.9625,0.825,0.825,0.025,0.025
31,combined,short,80,1.175,1.175,3.9375,3.9625,0.7875,0.7875,0.025,0.025
